objek_wisata,fasilitas,akses_jalan,rating_pengunjung,jumlah_pengunjung,jarak_ke_kota,label
Stadion Buntul Nege,5.0,5.0,4.1,153000.0,5.6,Tinggi
Sumber Air Panas Singah Mulo,7.0,3.0,4.2,2464.0,10.2,Rendah
Uyem Beriring,7.0,5.0,4.0,6046.0,7.5,Rendah
Mesjid Asal peparik,8.0,5.0,4.8,11517.0,6.1,Rendah
Berawang Tasik,6.0,1.0,4.3,9187.0,15.6,Rendah
Puncak Genting,8.0,5.0,4.1,30626.0,15.0,Rendah
Lestari Ayu Kedah,8.0,3.0,4.7,12234.0,15.2,Rendah
Taman Nasional Gunung Leuser (TNGL),8.0,1.0,4.5,1199.0,20.0,Rendah
Kampung Inggris,8.0,3.0,5.0,25005.0,22.0,Rendah
TPU Datok Imem Bukit,1.0,3.0,3.0,933.0,9.2,Rendah
Puncak Dedalu,5.0,3.0,5.0,942.0,35.9,Rendah
Aih Kala Pinang ,8.0,3.0,4.0,24830.0,5.4,Rendah
Tobacco Hut,8.0,1.0,3.5,1927.0,12.8,Rendah
Berawang Lopah,2.0,1.0,4.4,6292.0,15.7,Rendah
Kolam Renang marmas,4.0,5.0,3.9,1224.0,2.4,Rendah
Kolam renang simpang telpi,3.0,3.0,4.7,1318.0,5.6,Rendah
Bur Jumpe,8.0,5.0,4.1,5741.0,3.6,Rendah
Kolam Pemandian Penomon,4.0,1.0,3.7,352.0,22.4,Rendah
Air Terjun Pungke Jaya,2.0,1.0,3.5,2524.0,21.0,Rendah
Bur Godang,7.0,3.0,4.3,2360.0,36.7,Rendah
Mesjid Asal Penampaan,7.0,5.0,4.8,54876.0,0.5,Sedang
Air terjun Rerebe,8.0,3.0,4.4,84738.0,47.8,Sedang
Puncak Angkasan,1.0,1.0,4.0,1343.0,26.0,Rendah
Taman Mini Gayo Indah (TMGI),8.0,5.0,4.4,19082.0,3.3,Rendah
